epoch,loss,reshape_10_accuracy_mean,reshape_10_loss,reshape_11_accuracy_mean,reshape_11_loss,val_loss,val_reshape_10_accuracy_mean,val_reshape_10_loss,val_reshape_11_accuracy_mean,val_reshape_11_loss
0,0.1939497043689092,0.5,0.1939497,0.0016029972,0.0,0.1873941719532013,0.5,0.18739417,0.00089064176,0.0
1,0.18862920006116232,0.5,0.1886292,0.0025243924,0.0,0.18198376893997192,0.5,0.18198377,0.0019065773,0.0
2,0.18329097827275595,0.5,0.18329097,0.0036411954,0.0,0.17658939957618713,0.5,0.1765894,0.003096399,0.0
